##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
		-0.032333	-0.033333	-0.036333	-0.035333	-0.035333	-0.034333	-0.032333	-0.034333	-0.036333	-0.024333	-0.030333	-0.035333								
																					
440	20.2	0.98475	0.86975	0.26575	0.42975	0.33075	0.54075	0.71775	0.62375	0.60375	0.95775	0.60175	0.71475								
		0.33275	0.28175	0.32775	0.43875	0.38575	0.29475	0.31775	0.45775	0.32675	0.40975	0.83875	0.51475								
		0.30375	0.28675	0.28375	0.34675	0.27975	0.31075	0.33975	0.36175	0.40375	0.29375	0.41275	0.33675								
		0.28275	0.30275	0.40075	0.32275	0.48575	0.39475	0.30075	0.32575	0.36175	0.31175	0.42875	0.28075								
		0.35375	0.31175	0.37775	0.37475	0.31175	0.24075	0.46075	0.33675	0.24375	0.33575	0.35475	0.25075								
		0.34075	0.29575	0.26375	0.32575	0.30275	0.34075	0.33575	0.36975	0.39175	0.28975	0.27675	0.34575								
		0.08775	-0.01725	0.06175	-0.02125	0.02475	0.04975	-0.03525	-0.03325	-0.03325	-0.03125	-0.02825	-0.02425								
		-0.03225	-0.03325	-0.03625	-0.03525	-0.03625	-0.03425	-0.03225	-0.03525	-0.03625	-0.02525	-0.03025	-0.03525								
																					
450	20.2	1.001083	0.862083	0.267083	0.421083	0.324083	0.522083	0.694083	0.604083	0.584083	0.930083	0.580083	0.690083								
		0.316083	0.267083	0.310083	0.421083	0.370083	0.286083	0.306083	0.455083	0.319083	0.401083	0.821083	0.504083								
		0.296083	0.278083	0.273083	0.332083	0.268083	0.298083	0.325083	0.347083	0.387083	0.282083	0.397083	0.325083								
		0.270083	0.290083	0.382083	0.309083	0.463083	0.376083	0.288083	0.342083	0.384083	0.329083	0.449083	0.285083								
		0.374083	0.332083	0.400083	0.399083	0.334083	0.253083	0.487083	0.353083	0.260083	0.351083	0.374083	0.264083								
		0.357083	0.311083	0.279083	0.341083	0.320083	0.363083	0.352083	0.387083	0.411083	0.304083	0.289083	0.358083								
		0.087083	-0.017917	0.062083	-0.020917	0.024083	0.049083	-0.034917	-0.032917	-0.032917	-0.030917	-0.027917	-0.023917								
		-0.032917	-0.032917	-0.035917	-0.034917	-0.034917	-0.033917	-0.031917	-0.033917	-0.035917	-0.024917	-0.029917	-0.034917								
																					
460	20.2	1.023333	0.895333	0.260333	0.403333	0.302333	0.481333	0.657333	0.576333	0.562333	0.889333	0.554333	0.672333								
		0.295333	0.248333	0.290333	0.402333	0.349333	0.275333	0.292333	0.458333	0.315333	0.393333	0.812333	0.495333								
		0.289333	0.268333	0.261333	0.318333	0.255333	0.284333	0.309333	0.330333	0.370333	0.269333	0.381333	0.312333								
		0.256333	0.275333	0.363333	0.292333	0.440333	0.357333	0.272333	0.356333	0.421333	0.344333	0.462333	0.306333								
		0.387333	0.345333	0.421333	0.415333	0.353333	0.267333	0.502333	0.372333	0.272333	0.368333	0.387333	0.277333								
		0.368333	0.324333	0.291333	0.355333	0.332333	0.372333	0.370333	0.405333	0.422333	0.317333	0.303333	0.375333								
		0.087333	-0.018667	0.061333	-0.020667	0.024333	0.048333	-0.034667	-0.032667	-0.032667	-0.030667	-0.027667	-0.023667								
		-0.031667	-0.032667	-0.035667	-0.033667	-0.034667	-0.033667	-0.031667	-0.033667	-0.035667	-0.024667	-0.029667	-0.034667								
																					
470	20.2	1.023917	0.898917	0.249917	0.377917	0.267917	0.431917	0.597917	0.533917	0.523917	0.825917	0.513917	0.637917								
		0.266917	0.223917	0.261917	0.375917	0.322917	0.261917	0.274917	0.464917	0.308917	0.389917	0.793917	0.484917								
